DATETIME,L_T1,L_T2,L_T3,L_T4,L_T5,L_T6,L_T7,F_PU1,S_PU1,F_PU2,S_PU2,F_PU3,S_PU3,F_PU4,S_PU4,F_PU5,S_PU5,F_PU6,S_PU6,F_PU7,S_PU7,F_PU8,S_PU8,F_PU9,S_PU9,F_PU10,S_PU10,F_PU11,S_PU11,F_V2,S_V2,P_J280,P_J269,P_J300,P_J256,P_J289,P_J415,P_J302,P_J306,P_J307,P_J317,P_J14,P_J422,ATT_FLAG
06/10/16 17,4.41,3.79,4.84,2.92,1.84,5.5,3.13,112.3,1,0,0,0,0,0,0,0,0,0,0,49.51,1,35.96,1,0,0,30.54,1,0,0,0,0,2.99,26.16,26.84,73.74,26.8,85.09,22.57,82.86,22.46,70.71,38.6,28.21,0
06/10/16 18,4.33,3.27,4.51,3.14,2.35,5.5,3.55,112.93,1,0,0,0,0,0,0,0,0,0,0,49.07,1,35.83,1,0,0,30.32,1,0,0,0,0,2.99,25.8,26.35,72.67,26.31,85.44,22.34,82.87,22.23,71.2,38.3,27.72,0
06/10/16 19,4.21,2.75,4.15,3.43,2.81,5.5,4,112.91,1,0,0,0,0,0,0,0,0,0,0,49.66,1,35.99,1,0,0,30.72,1,0,0,0,0,2.99,25.81,25.79,71.87,25.75,83.74,22.17,82.41,22.06,69.71,38.27,27.16,0
06/10/16 20,4.11,2.22,3.77,3.14,3.15,5.5,4.06,114.38,1,0,0,0,0,0,0,0,0,0,0,49.71,1,36.04,1,0,0,30.81,1,0,0,0,0,2.99,24.98,25.26,71.63,25.22,83.11,21.36,81.51,21.25,68.6,37.56,26.63,0
06/10/16 21,3.9,1.69,3.4,2.66,3.33,5.5,3.86,113.92,1,0,0,0,0,0,0,0,0,0,0,49.49,1,35.75,1,0,0,30.73,1,0,0,0,0,2.99,25.24,24.74,67.22,24.7,83.03,21.65,82.32,21.54,69.16,37.73,26.12,0
06/10/16 22,3.76,1.17,2.89,2.43,3.62,5.5,3.83,114.18,1,0,0,0,0,34.24,1,0,0,0,0,47.9,1,35.51,1,0,0,31.06,1,0,0,0,0,2.99,25.09,21.09,84.67,21.15,82.45,21.46,82.56,21.35,67.85,37.56,22.84,0
06/10/16 23,3.52,0.5,3.27,2.36,3.92,5.5,3.46,120.26,1,0,0,0,0,35.33,1,0,0,0,0,49.55,1,34.33,1,0,0,30.22,1,0,0,84.59,1,2.99,21.6,24.9,86.44,24.97,83.18,18.56,81.68,18.45,67.73,27.88,26.98,0
07/10/16 00,3.05,0.53,3.68,2.27,3.65,5.5,3.33,118.37,1,0,0,0,0,33.3,1,0,0,0,0,49.46,1,0,0,0,0,31.2,1,0,0,92.98,1,2.99,22.69,25.06,89.99,25.12,83.51,26.12,63.64,26,72.05,28.05,27.15,0
07/10/16 01,2.68,0.63,4.2,2.31,3.06,5.5,3.88,117.55,1,0,0,0,0,33.64,1,0,0,0,0,49.47,1,0,0,0,0,30.95,1,0,0,95.08,1,2.99,23.16,25.19,89.57,25.25,83.61,26.5,64.06,26.39,73.27,28.2,27.3,0
07/10/16 02,2.38,0.75,4.69,2.35,2.68,5.5,4.55,117.41,1,0,0,0,0,33,1,0,0,0,0,48.39,1,0,0,0,0,30.35,1,0,0,94.34,1,2.99,23.24,25.35,90.77,25.41,85.82,26.59,62.83,26.48,75.35,28.34,27.44,0
07/10/16 03,2.2,0.91,5.21,2.88,2.12,5.28,3.79,116.52,1,0,0,0,0,32.39,1,0,0,0,0,47.53,1,0,0,0,0,0,0,0,0,96.77,1,2.99,23.75,25.62,92,25.68,87.66,29.44,62.65,29.44,59.67,28.61,27.71,0
07/10/16 04,2.11,1.28,5.15,3.64,1.63,4.99,2.63,116.52,1,0,0,0,0,0,0,0,0,0,0,48.2,1,0,0,0,0,0,0,0,0,87.22,1,2.99,23.76,27.25,75.81,27.21,87.97,29.45,62.24,29.45,59.72,29.81,28.91,0
07/10/16 05,1.84,1.62,4.91,4.28,1.97,5.21,3.21,118.31,1,0,0,0,0,0,0,0,0,0,0,46.71,1,34.37,1,0,0,29.81,1,0,0,77.15,1,2.99,22.72,27.18,76.01,27.14,90.58,19.66,82.71,19.55,70.15,29.67,28.77,0
07/10/16 06,1.59,2.2,4.7,4.02,2.58,5.5,4.02,118.15,1,0,0,0,0,0,0,0,0,0,0,0,0,34.37,1,0,0,28.05,1,0,0,57.5,1,2.99,22.82,29.53,75.31,29.53,67,20.13,83.17,20.04,76.01,31.76,30.86,0
07/10/16 07,1.38,2.77,4.46,3.03,3.2,5.45,4.69,119.11,1,0,0,0,0,0,0,0,0,0,0,50.19,1,35.88,1,0,0,0,0,0,0,68.1,1,2.99,22.27,27.86,74.22,27.82,84.78,24.82,85.18,24.82,59.92,30.32,29.42,0
07/10/16 08,1.13,2.95,4.17,3.1,3.81,5.16,3.38,118.45,1,0,0,0,0,0,0,0,0,0,0,50.22,1,35.59,1,0,0,0,0,0,0,68.89,1,2.99,22.65,28.06,68.56,28.02,84.92,25.15,86.03,25.15,56.03,30.53,29.63,0
07/10/16 09,1.03,3.17,3.67,3.18,3.85,5.05,2.5,98.43,1,98.44,1,0,0,0,0,0,0,0,0,50.06,1,0,0,0,0,32.47,1,0,0,73.85,1,2.97,33.82,28.44,68.88,28.4,85.62,25.74,62.5,25.62,67.23,30.94,30.04,0
07/10/16 10,1.07,3.42,3.21,3.4,3.05,5.18,2.38,98.38,1,98.4,1,0,0,0,0,0,0,0,0,50.02,1,0,0,0,0,32.39,1,0,0,72.49,1,2.97,33.84,28.65,72.61,28.61,85.9,25.79,61.34,25.66,67.56,31.13,30.23,0
07/10/16 11,1.1,3.57,3.11,3.63,2.21,5.35,2.4,98.25,1,98.27,1,0,0,36.25,1,0,0,0,0,49.56,1,0,0,0,0,32.32,1,0,0,75.95,1,2.97,33.91,27.87,87.78,27.94,86.14,25.86,60.93,25.74,67.88,30.8,29.9,0
07/10/16 12,1.12,3.47,3.57,3.91,1.54,5.5,2.53,97.56,1,97.58,1,0,0,35.64,1,0,0,0,0,49.32,1,34.72,1,0,0,30.56,1,0,0,78.31,1,2.97,34.28,27.82,88.81,27.89,86.55,19.72,82.18,19.61,67.79,30.76,29.86,0
07/10/16 13,1.09,3.4,4.04,4.23,2.11,5.5,2.51,98.61,1,98.63,1,0,0,34.82,1,0,0,0,0,49.75,1,34.91,1,0,0,30.62,1,0,0,74.84,1,2.97,33.71,27.72,90.12,27.79,85.61,19.16,81.29,19.05,67.04,30.63,29.73,0
07/10/16 14,0.98,3.3,4.55,4.27,2.51,5.5,2.32,98.73,1,98.75,1,0,0,34.96,1,0,0,0,0,49.26,1,34.59,1,0,0,29.91,1,0,0,74.85,1,2.97,33.65,27.63,89.79,27.69,86.46,19.32,81.98,19.21,69.49,30.53,29.63,0
07/10/16 15,0.87,3.2,5.02,4.52,2.97,5.5,2.73,98.16,1,98.18,1,0,0,35.38,1,0,0,0,0,0,0,34.7,1,0,0,30.13,1,0,0,69.63,1,2.97,33.96,28.89,90.34,29,62.97,19.42,81.91,19.31,68.89,31.38,30.48,0
07/10/16 16,0.84,3.62,5.29,2.94,3.37,5.5,2.93,98.66,1,98.68,1,0,0,0,0,0,0,0,0,49.92,1,34.62,1,0,0,29.76,1,0,0,68.95,1,2.97,33.69,28.74,72.11,28.69,86.19,19.3,81.93,19.19,69.96,31.2,30.3,0
07/10/16 17,0.76,3.81,4.88,3.31,3.72,5.5,3.33,98.05,1,98.07,1,0,0,0,0,0,0,0,0,49.77,1,34.2,1,0,0,29.48,1,0,0,69.38,1,2.97,34.02,28.95,73.6,28.91,86.7,19.68,83.01,19.57,71.22,31.42,30.52,0
07/10/16 18,0.78,4.02,4.54,3.71,3.92,5.5,3.92,97.94,1,97.96,1,0,0,0,0,0,0,0,0,49.85,1,0,0,0,0,31.13,1,0,0,69.34,1,2.97,34.08,29.15,71.72,29.11,86.74,25.96,63.34,25.85,72.11,31.62,30.72,0
07/10/16 19,0.89,4.23,4.14,4.05,3.24,5.5,4.39,97.26,1,97.28,1,0,0,0,0,0,0,0,0,50.25,1,0,0,0,0,31.58,1,0,0,70.83,1,2.97,34.44,29.39,67.57,29.35,86.2,26.23,62.15,26.11,70.85,31.87,30.97,0
07/10/16 20,1.03,4.44,3.62,4.2,2.48,5.5,4.53,98.46,1,98.48,1,0,0,0,0,0,0,0,0,50.62,1,0,0,0,0,31.03,1,0,0,65.29,1,2.97,33.8,29.44,71,29.4,85.52,25.93,60.85,25.82,72.43,31.89,30.99,0
07/10/16 21,1.11,4.61,3.23,4.1,1.64,5.4,4.4,97.75,1,97.77,1,0,0,0,0,0,0,0,0,50.61,1,0,0,0,0,0,0,0,0,68.46,1,2.97,34.18,29.68,69.19,29.64,85.77,29.09,59.75,29.09,53.05,32.15,31.25,0
07/10/16 22,1.14,4.67,3.01,4.09,1.77,5,2.38,97.91,1,97.93,1,0,0,36.42,1,0,0,0,0,50.59,1,35.65,1,0,0,30.78,1,0,0,69,1,2.97,34.09,28.76,88.37,28.84,85.02,19.26,80.1,19.15,66.6,31.68,30.78,0
07/10/16 23,1.08,4.48,3.49,3.87,1.99,5.13,2.29,98.49,1,98.51,1,0,0,35.8,1,0,0,0,0,50.35,1,34.73,1,0,0,30.63,1,0,0,67.99,1,2.97,33.78,28.59,89.3,28.66,85.3,19.24,81.68,19.13,67.08,31.48,30.58,0
08/10/16 00,0.99,4.29,3.98,3.84,2.46,5.29,2.4,98.08,1,98.1,1,0,0,35.6,1,0,0,0,0,50.05,1,34.81,1,0,0,30.65,1,0,0,70.37,1,2.97,34,28.48,89.54,28.55,85.8,19.36,81.65,19.25,67.12,31.38,30.48,0
08/10/16 01,0.93,4.13,4.46,3.97,2.87,5.45,2.47,97.39,1,97.41,1,0,0,34.04,1,0,0,0,0,48.76,1,34.29,1,0,0,30.34,1,0,0,73.27,1,2.97,34.37,28.48,92.19,28.54,88.25,19.8,82.99,19.69,68.61,31.35,30.45,0
08/10/16 02,0.95,4.04,5.01,4.57,3.43,5.5,3.17,97.25,1,97.27,1,0,0,34.39,1,0,0,0,0,0,0,34.28,1,0,0,28.93,1,0,0,67.09,1,2.97,34.45,29.66,92.81,29.77,66.31,20.18,83.38,20.08,73.44,32.13,31.23,0
08/10/16 03,1.01,4.44,5.36,3.34,3.98,5.5,4.12,96.37,1,96.39,1,0,0,0,0,0,0,0,0,0,0,33.99,1,0,0,28.58,1,0,0,55.39,1,2.98,34.92,31.62,75.83,31.62,66.69,20.7,84.37,20.6,75,33.84,32.94,0
08/10/16 04,1.22,4.87,5.11,3.14,3.76,5.44,4.69,94.95,1,94.97,1,0,0,0,0,0,0,0,0,48.45,1,0,0,0,0,0,0,0,0,77.31,1,2.98,35.68,30.35,76.48,30.31,90.6,30.2,64.66,30.2,60.82,32.85,31.95,0
08/10/16 05,1.55,5.18,4.91,4.12,3.36,5.2,3.63,95.28,1,95.3,1,0,0,0,0,0,0,0,0,49.51,1,0,0,0,0,0,0,0,0,74.89,1,2.98,35.5,30.51,75.23,30.47,88.76,30.24,64.04,30.24,59.34,33,32.1,0
08/10/16 06,1.89,5.5,4.65,4.11,2.9,4.9,2.43,91.09,1,91.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.68,1,0,0,0,0,2.98,37.73,30.5,74.25,30.5,67.62,29.42,62.94,29.3,70.15,41.04,31.69,0
08/10/16 07,2.33,5.5,4.36,3.09,2.32,5.22,3.08,89.53,1,89.54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.02,1,0,0,0,0,2.98,38.55,30.5,73.37,30.5,65.11,30.31,61.87,30.19,69.78,42.09,31.69,0
08/10/16 08,2.8,5.11,4.03,3.15,1.65,5.5,3.49,90.98,1,91,1,0,0,0,0,0,0,0,0,49.8,1,0,0,0,0,31.97,1,0,0,0,0,2.98,37.78,28.13,71.97,28.09,85.83,29.96,60.99,29.84,73.21,41.32,29.51,0
08/10/16 09,3.08,4.58,3.67,3.43,1.87,5.5,4.02,93.16,1,93.18,1,0,0,0,0,0,0,0,0,50.06,1,36.09,1,0,0,30.38,1,0,0,0,0,2.98,36.63,27.59,72.38,27.55,84.77,21.93,81.99,21.82,70.6,39.78,28.96,0
08/10/16 10,3.27,4.05,3.33,3.41,2.26,5.5,4.28,93.24,1,93.26,1,0,0,0,0,0,0,0,0,49.89,1,35.97,1,0,0,30.87,1,0,0,0,0,2.98,36.59,27.07,68.66,27.03,84.58,21.87,82.15,21.76,68.9,39.79,28.44,0
08/10/16 11,3.44,3.43,3.08,3.36,2.64,5.5,4.09,92.08,1,92.1,1,0,0,33.89,1,0,0,0,0,48.3,1,36,1,0,0,30.51,1,0,0,0,0,2.98,37.2,23.34,87.31,23.4,83.97,22.6,82.83,22.49,70.82,40.48,25.09,0
08/10/16 12,3.66,2.56,3.53,3.38,3.06,5.5,4.37,92.35,1,92.37,1,0,0,33.5,1,0,0,0,0,47.83,1,35.87,1,0,0,30.68,1,0,0,0,0,2.98,37.06,22.57,87.18,22.63,84.06,22.56,83.02,22.45,70.23,40.4,24.31,0
08/10/16 13,3.86,1.7,3.97,3.47,3.46,5.5,4.47,91.86,1,91.87,1,0,0,32.62,1,0,0,0,0,47.34,1,35.89,1,0,0,30.24,1,0,0,0,0,2.98,37.32,21.86,87.88,21.92,84.23,22.99,83.41,22.89,72.12,40.74,23.59,0
08/10/16 14,4.1,0.85,4.42,3.63,3.87,5.4,4.3,89.82,1,89.84,1,0,0,32.47,1,0,0,0,0,46.75,1,37.98,1,0,0,0,0,0,0,0,0,2.98,38.39,21.1,87.36,21.16,84.52,30.18,86.69,30.18,57.66,42.26,22.82,0
08/10/16 15,4.35,0.6,4.86,3.91,3.46,5.01,2.56,94.55,1,94.57,1,0,0,33.92,1,0,0,0,0,48.65,1,0,0,0,0,0,0,0,0,113.27,1,2.98,35.89,25.76,89.68,25.82,85.75,31.89,63.16,31.89,56.32,28.9,28,0
08/10/16 16,4.31,0.93,5.28,4.16,2.82,5.1,2.42,95.1,1,95.11,1,0,0,0,0,0,0,0,0,49.51,1,0,0,0,0,32.9,1,0,0,101.25,1,2.98,35.6,27.67,73.75,27.63,85.92,28.84,62.48,28.71,68.74,30.33,29.43,0
08/10/16 17,4.23,1.47,4.93,4.3,2.17,5.34,2.72,94.73,1,94.75,1,0,0,0,0,0,0,0,0,49.58,1,0,0,0,0,32.72,1,0,0,99.5,1,2.98,35.8,28.08,73.56,28.04,86.2,28.95,61.58,28.82,69.51,30.73,29.83,0
08/10/16 18,4.2,1.99,4.59,4.47,1.48,5.5,3.27,95.32,1,95.34,1,0,0,0,0,0,0,0,0,49.13,1,35.97,1,0,0,30.26,1,0,0,94.55,1,2.98,35.48,28.32,72.62,28.28,87.3,21.99,82.27,21.88,71.03,30.93,30.03,0
08/10/16 19,4.08,2.72,4.22,3.59,1.97,5.5,3.75,95.07,1,95.09,1,0,0,0,0,0,0,0,0,0,0,36.13,1,0,0,30.55,1,0,0,73.64,1,2.98,35.62,31.41,71.01,31.41,62.03,21.92,81.91,21.81,70.02,33.71,32.81,0
08/10/16 20,3.93,3.3,3.81,2.87,2.34,5.5,3.94,96.09,1,96.11,1,0,0,0,0,0,0,0,0,50.54,1,35.94,1,0,0,30.48,1,0,0,85.63,1,2.98,35.07,29.05,70.06,29,85.27,21.4,81.72,21.29,69.73,31.61,30.71,0
08/10/16 21,3.74,3.66,3.38,3.03,2.66,5.5,4.04,96.81,1,96.83,1,0,0,0,0,0,0,0,0,50.89,1,35.92,1,0,0,30.43,1,0,0,81.11,1,2.98,34.69,29.18,69.63,29.14,84.71,20.93,81.3,20.83,69.42,31.72,30.82,0
08/10/16 22,3.51,3.97,2.95,3,2.89,5.5,4.06,96.95,1,96.97,1,0,0,37.34,1,0,0,0,0,50.93,1,35.72,1,0,0,30.85,1,0,0,83.18,1,2.98,34.61,28.3,86.24,28.37,83.87,20.73,81.45,20.62,67.83,31.31,30.41,0
08/10/16 23,3.3,3.91,3.35,2.68,3.13,5.5,3.66,96.54,1,96.56,1,0,0,36.72,1,0,0,0,0,50.96,1,35.54,1,0,0,30.86,1,0,0,84.72,1,2.98,34.83,28.26,87.33,28.34,83.77,20.93,81.96,20.82,68.01,31.28,30.38,0
09/10/16 00,3.12,3.88,3.78,2.45,3.42,5.5,3.41,95.93,1,95.95,1,0,0,35.15,1,0,0,0,0,50.07,1,34.82,1,0,0,29.68,1,0,0,87.02,1,2.98,35.16,28.28,90.12,28.35,85.55,21.66,83.94,21.56,72.59,31.27,30.37,0
09/10/16 01,3.01,3.9,4.29,2.78,3.97,5.5,4.15,95.26,1,95.28,1,0,0,33.93,1,0,0,0,0,49.15,1,34.55,1,0,0,29.29,1,0,0,88.95,1,2.98,35.52,28.36,92.27,28.42,87.4,22.08,84.82,21.97,74.22,31.33,30.43,0
09/10/16 02,3.12,3.99,4.85,3.4,3.75,5.41,4.35,94.17,1,94.19,1,0,0,33.58,1,0,0,0,0,48.57,1,0,0,0,0,0,0,0,0,94.49,1,2.98,36.1,28.56,93.04,28.62,88.68,31.38,64.32,31.38,59.96,31.56,30.66,0
09/10/16 03,3.36,4.18,5.25,4.14,3.27,5.12,3.13,92.9,1,92.91,1,0,0,0,0,0,0,0,0,48.61,1,0,0,0,0,0,0,0,0,90.82,1,2.98,36.77,30.32,76.72,30.28,90.27,32.02,64.05,32.02,60.24,32.91,32.01,0
09/10/16 04,3.68,4.8,5.06,4.15,2.83,4.88,2.38,92.56,1,92.58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.05,1,0,0,70.33,1,2.98,36.95,33.19,76.58,33.19,69.48,29.57,63.97,29.45,72.55,35.48,34.58,0
09/10/16 05,3.92,5.5,4.88,3.42,2.49,5.31,3.54,87.12,1,87.13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.51,1,0,0,0,0,2.98,39.8,30.5,76.3,30.5,68.78,32.22,63.56,32.1,73.54,43.91,31.69,0
09/10/16 06,4.42,5.37,4.68,3.1,2.13,5.49,4.74,85.47,1,85.49,1,0,0,0,0,0,0,0,0,48.58,1,0,0,0,0,0,0,0,0,0,0,2.98,40.64,28.49,75.41,28.45,88.5,36.34,62.79,36.34,61.07,45.4,29.85,0
09/10/16 07,4.8,4.86,4.45,3.85,1.67,5.26,3.75,109.37,1,0,0,0,0,0,0,0,0,0,0,48.63,1,0,0,0,0,0,0,0,0,0,0,2.99,27.81,27.97,74.75,27.93,87.89,33.35,62.02,33.35,59.24,40.39,29.34,0
09/10/16 08,4.46,4.34,4.19,4.43,1.98,4.96,2.51,111.66,1,0,0,0,0,0,0,0,0,0,0,48.93,1,35.78,1,0,0,31.25,1,0,0,0,0,2.99,26.52,27.43,73.02,27.4,86.78,22.9,83.51,22.79,68.64,39.06,28.8,0
09/10/16 09,4.6,4.22,3.86,3.47,2.56,5.23,2.95,90.26,1,90.27,1,0,0,0,0,0,0,0,0,0,0,36.18,1,0,0,31.62,1,0,0,0,0,2.98,38.16,29.22,71.32,29.22,62.56,23.87,83.77,23.75,68.34,41.97,30.41,1
09/10/16 10,4.81,3.96,3.47,2.8,3.07,5.45,3.16,91,1,91.01,1,0,0,0,0,0,0,0,0,49.93,1,36.38,1,0,0,31.75,1,0,0,0,0,2.98,37.78,26.98,70.75,26.94,84.42,23.52,83.07,23.4,67.56,41.63,28.35,1
09/10/16 11,4.97,3.43,3.08,2.86,3.42,5.5,3.13,90.6,1,90.61,1,0,0,0,0,0,0,0,0,49.81,1,36.33,1,0,0,31.19,1,0,0,0,0,2.98,37.98,26.46,69.31,26.41,84.13,23.94,83.57,23.83,69.89,41.9,27.83,1
09/10/16 12,5.14,2.61,3.34,2.82,3.8,5.5,3.36,90.31,1,90.32,1,0,0,33.62,1,0,0,0,0,48.38,1,36.42,1,0,0,31.18,1,0,0,0,0,2.98,38.14,22.54,86.96,22.6,83.02,24.13,83.6,24.02,70.12,42.1,24.29,1
09/10/16 13,5.37,1.74,3.77,2.7,3.68,5.5,3.64,89.29,1,89.31,1,0,0,33.45,1,0,0,0,0,47.9,1,0,0,0,0,33.09,1,0,0,0,0,2.98,38.67,21.75,86.44,21.81,83.11,31.91,62.12,31.78,71.11,43.06,23.49,1
09/10/16 14,5.66,0.88,4.18,2.72,2.86,5.5,3.83,88.47,1,88.48,1,0,0,33.43,1,0,0,0,0,47.58,1,0,0,0,0,33.07,1,0,0,0,0,2.98,39.1,20.93,85.65,20.99,82.86,32.43,61.79,32.3,71.72,43.61,22.67,1
09/10/16 15,5.73,0.64,4.56,2.75,2.1,5.5,4.07,93.72,1,93.73,1,0,0,35.35,1,0,0,0,0,49.37,1,0,0,0,0,32.21,1,0,0,118.23,1,2.98,36.34,25.9,87.4,25.96,84.52,30.38,60.82,30.26,72.8,29.11,28.21,1
09/10/16 16,5.5,0.97,4.97,2.91,1.6,5.5,4.5,95.66,1,95.68,1,0,0,35.34,1,0,0,0,0,49.75,1,36.5,1,0,0,30.71,1,0,0,109.39,1,2.98,35.3,25.84,87.37,25.91,83.74,21.99,81.31,21.88,69.57,28.99,28.09,1
09/10/16 17,5.14,1.22,5.35,2.8,1.9,5.5,4.43,95.16,1,95.18,1,0,0,0,0,0,0,0,0,50.5,1,36.56,1,0,0,31.14,1,0,0,100.83,1,2.98,35.57,27.85,71.06,27.81,84.16,22.12,81.34,22.01,68.24,30.52,29.62,1
09/10/16 18,4.84,1.74,4.9,2.73,2.16,5.5,4.02,95.1,1,95.11,1,0,0,0,0,0,0,0,0,50.84,1,36.39,1,0,0,31.1,1,0,0,98.34,1,2.98,35.6,28.19,69.11,28.15,83.83,22.15,81.68,22.03,68.41,30.84,29.94,1
09/10/16 19,4.58,2.23,4.4,2.52,2.45,5.5,3.75,95.78,1,95.8,1,0,0,0,0,0,0,0,0,50.93,1,36.22,1,0,0,30.73,1,0,0,93.76,1,2.98,35.24,28.4,70.89,28.35,83.86,21.79,81.62,21.68,69.29,31.02,30.12,1
09/10/16 20,4.3,2.68,3.98,2.38,2.72,5.5,3.78,95.3,1,95.32,1,0,0,0,0,0,0,0,0,50.91,1,35.67,1,0,0,30.9,1,0,0,92.63,1,2.98,35.5,28.77,68.73,28.73,84.26,22.11,82.91,21.99,69.04,31.39,30.49,1
09/10/16 21,4.08,3.11,3.5,2.39,3.16,5.5,3.72,95.38,1,95.4,1,0,0,0,0,0,0,0,0,50.99,1,35.85,1,0,0,30.87,1,0,0,89.91,1,2.98,35.45,29.05,69.15,29.01,84.38,21.95,82.43,21.84,68.98,31.64,30.74,1
09/10/16 22,3.87,3.51,3.05,2.42,3.48,5.5,3.67,95.8,1,95.82,1,0,0,0,0,0,0,0,0,50.98,1,35.46,1,0,0,31.04,1,0,0,86.23,1,2.98,35.23,29.26,68.65,29.22,84.61,21.7,82.87,21.58,68.17,31.83,30.93,1
09/10/16 23,3.64,3.58,3.39,2.47,3.85,5.5,3.44,95.77,1,95.78,1,0,0,35.39,1,0,0,0,0,50.3,1,35.19,1,0,0,30.52,1,0,0,91.83,1,2.98,35.25,28.01,89.44,28.08,84.82,21.85,83.49,21.74,70.05,31.04,30.14,1
10/10/16 00,3.51,3.66,3.89,2.65,3.71,5.5,3.76,95.22,1,95.24,1,0,0,34.87,1,0,0,0,0,50.29,1,0,0,0,0,31.16,1,0,0,94.12,1,2.98,35.54,28.13,90.45,28.2,84.97,28.88,62.69,28.76,74.95,31.17,30.27,1
10/10/16 01,3.47,3.75,4.41,2.83,2.96,5.5,4.67,94.21,1,94.23,1,0,0,34.81,1,0,0,0,0,49.34,1,0,0,0,0,30.73,1,0,0,96.34,1,2.98,36.08,28.29,90.72,28.36,86.98,29.21,62.72,29.1,76.71,31.33,30.43,1
10/10/16 02,3.64,3.91,4.92,3.37,2.33,5.25,3.65,93.69,1,93.71,1,0,0,33.79,1,0,0,0,0,49.16,1,0,0,0,0,0,0,0,0,98.3,1,2.98,36.35,28.54,92.67,28.6,87.55,32.1,62.36,32.1,58.9,31.57,30.67,1
10/10/16 03,3.83,4.16,5.22,3.94,1.75,4.93,2.32,93.35,1,93.36,1,0,0,0,0,0,0,0,0,49.08,1,0,0,0,0,32.37,1,0,0,89.86,1,2.98,36.54,30.22,76.08,30.18,89.29,29.5,62.5,29.37,71.33,32.8,31.9,1
10/10/16 04,3.38,4.65,4.99,4.3,1.81,5.29,3.2,92.85,1,92.86,1,0,0,0,0,0,0,0,0,0,0,35.43,1,0,0,30.52,1,0,0,70.21,1,2.98,36.8,33.03,76.18,33.03,68.69,23.16,84.38,23.05,71.37,35.32,34.42,1
10/10/16 05,3.44,5.39,4.78,3.41,2.52,5.5,4.31,92.22,1,92.23,1,0,0,0,0,0,0,0,0,0,0,35.51,1,0,0,28.77,1,0,0,68.42,1,2.98,37.13,33.61,76.42,33.61,66.67,23.86,84.94,23.76,77.61,35.89,34.99,1
10/10/16 06,3.84,5.18,4.6,3.37,3.26,5.37,4.19,87.98,1,88,1,0,0,0,0,0,0,0,0,49.17,1,38.06,1,0,0,0,0,0,0,0,0,2.98,39.35,28.26,75.03,28.22,87.16,31.37,87.74,31.37,58.95,43.52,29.63,1
10/10/16 07,4.24,4.66,4.35,3.88,3.92,5.04,2.76,87.76,1,87.77,1,0,0,0,0,0,0,0,0,48.99,1,38.15,1,0,0,0,0,0,0,0,0,2.98,39.47,27.75,71.57,27.71,86.98,31.63,87.82,31.63,57.17,43.75,29.12,1
10/10/16 08,4.65,4.15,3.95,4.3,3.49,5.23,2.95,88.45,1,88.46,1,0,0,0,0,0,0,0,0,49.51,1,0,0,0,0,33.36,1,0,0,0,0,2.98,39.11,27.19,72.14,27.15,85.45,32.17,62.13,32.04,70.36,43.49,28.57,1
10/10/16 09,5,3.62,3.6,4.31,2.69,5.5,3.52,89.51,1,89.53,1,0,0,0,0,0,0,0,0,49.44,1,0,0,0,0,32.55,1,0,0,0,0,2.98,38.55,26.67,72.12,26.63,85.06,31.95,61.67,31.82,73.15,42.97,28.05,1
10/10/16 10,5.28,3.1,3.25,4.21,1.94,5.5,4.11,89.11,1,89.13,1,0,0,0,0,0,0,0,0,49.18,1,0,0,0,0,32.11,1,0,0,0,0,2.98,38.76,26.17,70.99,26.13,85.05,32.33,60.86,32.21,75.08,43.28,27.54,1
10/10/16 11,5.5,2.46,3.15,4.16,1.69,5.5,4.85,88.55,1,88.57,1,0,0,32.74,1,0,0,0,0,47.5,1,38.84,1,0,0,0,0,0,0,0,0,2.98,39.05,22.59,88.42,22.65,84.67,31.65,86.53,31.65,56.88,43.59,24.32,1
10/10/16 12,5.05,1.53,3.63,4.24,2.24,5.07,2.79,88.98,1,89,1,0,0,32.89,1,0,0,0,0,47.45,1,39.26,1,0,0,0,0,0,0,0,0,2.98,38.83,21.65,87.24,21.71,83.83,31.19,85.23,31.19,56.99,43.22,23.38,1
10/10/16 13,5.23,0.68,4.07,4.09,2.59,5.21,2.81,88.69,1,88.71,1,0,0,31.98,1,0,0,0,0,46.94,1,36.42,1,0,0,32,1,0,0,0,0,2.98,38.98,20.96,87.97,21.01,84.05,24.96,84.42,24.84,68.1,43.16,22.67,1
10/10/16 14,5.06,0.78,4.56,4.17,3.12,5.4,2.93,94.89,1,94.91,1,0,0,34.63,1,0,0,0,0,48.81,1,36.04,1,0,0,31.35,1,0,0,112.43,1,2.98,35.71,25.86,88.6,25.92,85.54,22.45,82.6,22.33,67.86,29.01,28.11,1
10/10/16 15,4.74,1.08,5,4.31,3.44,5.5,3.11,94.15,1,94.17,1,0,0,33.86,1,0,0,0,0,49.12,1,35.8,1,0,0,30.47,1,0,0,112.78,1,2.98,36.11,26.2,90.21,26.26,85.3,23.13,83.71,23.02,71.5,29.34,28.44,1
